date      , code  , name    , close , score, status    , risk_tags                               , ret10_fmt, ret20_fmt, ret60_fmt, ret20_rank_pct_fmt, ret60_rank_pct_fmt, ma20                , ma60                , ma120               , ma20_slope_5_fmt, ma60_slope_10_fmt, amount_ma20   , amount_ratio_5_20 , up_down_amount_ratio20, dist_to_60d_high_fmt, is_20d_high, is_60d_high, max_dd20_fmt, turnover_ma5        , limit_up_count_5, basic_liquid, trend_basic, relative_strength, volume_ok, near_breakout, risk_ok, candidate
2026-06-18, 600259, 中稀有色, 116.28,   100, 强0.趋势池  , 无明显技术风险                          , 23.99%   , 33.89%   , 46.14%   , 96.61%            , 93.45%            ,  91.985             ,  91.444             ,  84.24775000000001  , 3.73%           , 1.76%            ,  1638025967.35, 1.7981387861421194,    2.1870208028780675 , 0.00%               , True       , True       , -9.01%      , 0.08373642278554629 ,              1.0, True        , True       , True             , True     , True         , True   , True
2026-06-18, 603211, 晋拓股份,  36.44,    98, 强趋势池  , 无明显技术风险                          , 32.03%   , 23.36%   , 53.69%   , 94.48%            , 94.48%            ,  29.628000000000004 ,  27.575666666666667 ,  25.040333333333333 , 2.28%           , 5.06%            ,   300825554.2 , 1.3026663942899837,    1.5589599312408031 , 0.00%               , True       , True       , -14.54%     , 0.045347318695549796,              1.0, True        , True       , True             , True     , True         , True   , True
2026-06-18, 002971, 和远气体,  67.38,    96, 短期过热  , 10日涨幅过热、20日涨幅过热              , 80.21%   , 94.18%   , 135.51%  , 99.53%            , 98.74%            ,  43.403000000000006 ,  35.73866666666667  ,  33.529333333333334 , 14.48%          , 11.32%           ,  1117925360.3 , 2.2543121899692   ,    3.21257975764076   , 0.00%               , True       , True       , -6.01%      , 0.2749300296960352  ,              2.0, True        , True       , True             , True     , True         , True   , True
2026-06-18, 000608, 阳光股份,   7.59,    96, 短期过热  , 10日涨幅过热、20日涨幅过热              , 51.20%   , 91.67%   , 90.70%   , 99.50%            , 96.94%            ,   5.4645            ,   4.4675            ,   3.8394166666666663, 15.26%          , 12.08%           ,   345976039.65, 1.2347607083778585,    2.905283091557266  , 0.00%               , True       , True       , -9.94%      , 0.08459355042439477 ,              2.0, True        , True       , True             , True     , True         , True   , True
2026-06-18, 000657, 中钨高新,  98.48,    96, 短期过热  , 20日涨幅过热                            , 32.49%   , 73.66%   , 96.61%   , 99.14%            , 97.24%            ,  73.8945            ,  60.36066666666667  ,  52.98708333333333  , 12.75%          , 6.74%            ,  7921151656.1 , 1.3255864631645984,    2.794157869095083  , 0.00%               , True       , True       , -8.62%      , 0.08335291766147748 ,              2.0, True        , True       , True             , True     , True         , True   , True
2026-06-18, 600667, 太极实业,  20.92,    96, 短期过热  , 20日涨幅过热                            , 27.87%   , 68.44%   , 95.88%   , 99.07%            , 97.17%            ,  15.5595            ,  12.130833333333333 ,  10.834416666666668 , 9.51%           , 9.57%            ,  5103633322.2 , 1.2684633367448468,    1.8524692908337081 , 0.00%               , True       , True       , -8.68%      , 0.17035827063297213 ,              1.0, True        , True       , True             , True     , True         , True   , True
2026-06-18, 600226, 亨通股份,   9.76,    96, 短期过热  , 10日涨幅过热、20日涨幅过热              , 45.45%   , 66.84%   , 104.61%  , 99.04%            , 97.61%            ,   7.173             ,   5.890833333333334 ,   5.761416666666666 , 10.85%          , 7.81%            ,  1585044531.75, 1.4705763186517489,    3.189092154280765  , 0.00%               , True       , True       , -9.66%      , 0.09201390944498512 ,              2.0, True        , True       , True             , True     , True         , True   , True
2026-06-18, 002842, 翔鹭钨业,  47.72,    96, 短期过热  , 10日涨幅过热                            , 38.56%   , 49.59%   , 51.01%   , 98.34%            , 94.15%            ,  36.2195            ,  34.58233333333333  ,  30.57616666666667  , 7.51%           , 1.79%            ,  1959940120.4 , 2.0207095662655834,    3.5241639760827126 , 0.00%               , True       , True       , -6.41%      , 0.3447706723012145  ,              1.0, True        , True       , True             , True     , True         , True   , True
2026-06-16, 600228, 返利科技,   8.92,    96, 短期过热  , 10日涨幅过热                            , 41.14%   , 36.60%   , 56.22%   , 97.07%            , 94.71%            ,   6.696             ,   6.218000000000001 ,   5.908833333333333 , 4.42%           , 3.52%            ,   148549481.3 , 2.8315124167316763,    7.327372652424239  , 0.00%               , True       , True       , -9.60%      , 0.1353202658617213  ,              1.0, True        , True       , True             , True     , True         , True   , True
2026-06-18, 603124, 江南新材, 211.31,    94, 短期过热  , 10日涨幅过热、20日涨幅过热              , 38.36%   , 79.88%   , 110.93%  , 99.27%            , 97.91%            , 159.791             , 132.504             , 113.40858333333334  , 13.53%          , 11.26%           ,   743698352.95, 1.4685362269094964,    2.8139654390943325 , 0.00%               , True       , True       , -10.00%     , 0.07297348587099842 ,              2.0, True        , True       , True             , True     , True         , True   , True
