date,open,high,low,close,volume,amount,outstanding_share,turnover,change,pct_chg,amplitude
2023-03-06,11.24,11.44,11.23,11.39,5071800.0,57780082.0,308411340.0,0.016444920605059463,,,
2023-03-07,11.39,11.45,11.21,11.23,4282192.0,48599975.0,308411340.0,0.013884677521909538,-0.16000000000000014,-1.4047410008779626,2.107111501316931
2023-03-08,11.17,11.26,11.16,11.23,2735100.0,30742771.0,308411340.0,0.008868350949741342,0.0,0.0,0.8904719501335676
2023-03-09,11.22,11.25,11.17,11.21,2287300.0,25710405.0,308411340.0,0.007416393962686327,-0.019999999999999574,-0.17809439002670624,0.7123775601068573
2023-03-10,11.18,11.31,10.1,10.15,19531523.0,205252007.0,308411340.0,0.06332945798945007,-1.0600000000000005,-9.455842997323828,10.793933987511158
2023-03-13,10.22,11.02,10.19,10.92,16499298.0,176938995.0,308411340.0,0.05349770212729532,0.7699999999999996,7.586206896551717,8.177339901477833
2023-03-14,10.92,10.94,10.61,10.64,6858152.0,73739021.0,308411340.0,0.0222370292869257,-0.27999999999999936,-2.564102564102555,3.021978021978023
2023-03-15,10.62,10.73,10.43,10.44,5512420.0,58197437.0,308411340.0,0.017873596995493096,-0.20000000000000107,-1.8796992481203145,2.8195488721804574
2023-03-16,10.47,10.53,10.37,10.48,4291100.0,44996705.0,308411340.0,0.013913561025350105,0.040000000000000924,0.3831417624521105,1.5325670498084305
2023-03-17,10.49,10.57,9.56,10.22,16780548.0,168794487.0,308411340.0,0.054409633575730386,-0.2599999999999998,-2.4809160305343525,9.637404580152669
2023-03-20,10.16,10.34,9.83,10.28,11337608.0,114932847.0,308411340.0,0.036761320125258685,0.05999999999999872,0.5870841487279677,4.9902152641878645
2023-03-21,10.23,10.31,10.17,10.21,6374434.0,65547477.0,308411340.0,0.020668610953151072,-0.06999999999999851,-0.6809338521400643,1.3618677042801612
2023-03-22,10.2,10.24,10.02,10.06,4984900.0,50492114.0,308411340.0,0.016163154052636325,-0.15000000000000036,-1.4691478942213565,2.1547502448579885
2023-03-23,10.06,10.09,9.91,9.92,4792680.0,47921636.0,308411340.0,0.015539895517460545,-0.14000000000000057,-1.3916500994035852,1.7892644135188838
2023-03-24,9.96,10.15,9.87,10.04,4708648.0,47279952.0,308411340.0,0.015267428233994249,0.11999999999999922,1.2096774193548265,2.8225806451613016
2023-03-27,10.04,10.25,9.94,10.15,7583240.0,76731278.0,308411340.0,0.024588071242775962,0.11000000000000121,1.0956175298804993,3.0876494023904435
2023-03-28,10.14,10.3,10.06,10.19,5212500.0,53167797.0,308411340.0,0.01690112951099658,0.03999999999999915,0.39408866995072067,2.3645320197044355
2023-03-29,10.19,10.26,10.08,10.2,4000740.0,40816977.0,308411340.0,0.012972091104043062,0.009999999999999787,0.09813542688910104,1.7664376840039229
2023-03-30,10.22,10.22,9.96,10.0,4886740.0,49293020.0,308411340.0,0.01584487781804651,-0.1999999999999993,-1.9607843137254832,2.5490196078431353
2023-03-31,10.03,10.12,9.91,10.1,4514720.0,45378548.0,308411340.0,0.014638631640457839,0.09999999999999964,1.0000000000000009,2.0999999999999908
2023-04-03,10.05,10.07,9.66,9.81,8858857.0,87593572.0,308411340.0,0.028724161050628035,-0.28999999999999915,-2.8712871287128627,4.059405940594061
2023-04-04,9.84,10.04,9.65,9.81,9673900.0,95120445.0,308411340.0,0.031366875160945766,0.0,0.0,3.975535168195706
2023-04-06,9.8,10.06,9.76,10.04,6502120.0,64716695.0,308411340.0,0.021082622967106203,0.22999999999999865,2.3445463812436174,3.0581039755351753
2023-04-07,10.04,10.41,9.98,10.29,11656596.0,119161349.0,308411340.0,0.03779561413014191,0.25,2.490039840637448,4.282868525896412
2023-04-10,10.29,10.51,10.29,10.42,6420300.0,67058349.0,308411340.0,0.02081732792315613,0.13000000000000078,1.263362487852282,2.1379980563654097
