date,open,high,low,close,volume,amount,outstanding_share,turnover,change,pct_chg,amplitude
2026-05-19,18.49,19.16,18.45,18.95,6570955.0,123656354.0,133747200.0,0.049129664022873006,,,
2026-05-20,19.2,19.5,18.73,19.13,6608100.0,126252032.0,133747200.0,0.049407389463106514,0.17999999999999972,0.9498680738786236,4.063324538258573
2026-05-21,19.04,19.18,17.7,17.81,6501346.0,120512431.0,133747200.0,0.04860921200593358,-1.3200000000000003,-6.90015682174595,7.736539466806066
2026-05-22,17.9,18.38,17.62,18.08,4646400.0,83758117.0,133747200.0,0.03474016652311226,0.2699999999999996,1.5160022459292488,4.267265581134183
2026-05-25,18.42,18.79,17.28,17.4,6469200.0,114802246.0,133747200.0,0.04836886304909561,-0.6799999999999997,-3.761061946902655,8.351769911504414
2026-05-26,17.91,17.99,16.77,17.0,6062600.0,103250193.0,133747200.0,0.045328799406641786,-0.3999999999999986,-2.298850574712641,7.011494252873557
2026-05-27,16.83,17.03,16.24,16.33,5051800.0,83492604.0,133747200.0,0.037771258015121066,-0.6700000000000017,-3.941176470588248,4.647058823529428
2026-05-28,16.44,17.07,16.06,16.8,5266700.0,87280835.0,133747200.0,0.039378020623983157,0.4700000000000024,2.8781383955909456,6.184935701163513
2026-05-29,16.85,17.6,16.12,16.29,5655901.0,94571644.0,133747200.0,0.042287995561776245,-0.5100000000000016,-3.035714285714297,8.809523809523812
2026-06-01,16.28,16.9,16.01,16.73,5231900.0,86955448.0,133747200.0,0.03911782826107762,0.4400000000000013,2.701043585021501,5.463474524247987
2026-06-02,16.71,17.32,16.12,16.95,5971600.0,99821442.0,133747200.0,0.04464841133122787,0.21999999999999886,1.3150029886431547,7.17274357441721
2026-06-03,16.99,16.99,16.48,16.64,4596097.0,76777249.0,133747200.0,0.03436406145324911,-0.3099999999999987,-1.8289085545722616,3.0088495575221126
2026-06-04,16.56,16.56,15.88,15.89,4130353.0,66446090.0,133747200.0,0.030881790422528473,-0.75,-4.507211538461542,4.086538461538449
2026-06-05,15.96,16.28,15.56,16.06,4315300.0,69067553.0,133747200.0,0.032264600679490864,0.16999999999999815,1.069855254877261,4.531151667715548
2026-06-08,15.58,15.92,15.01,15.35,5090700.0,78975943.0,133747200.0,0.03806210522538042,-0.7099999999999991,-4.420921544209211,5.666251556662517
2026-06-09,15.08,15.67,15.08,15.5,3520600.0,54457264.0,133747200.0,0.02632279404727725,0.15000000000000036,0.9771986970684043,3.843648208469055
2026-06-10,15.5,15.52,14.99,15.34,4057100.0,61892695.0,133747200.0,0.030334092975404344,-0.16000000000000014,-1.0322580645161339,3.4193548387096735
2026-06-11,15.33,15.4,14.96,15.1,2469100.0,37373713.0,133747200.0,0.01846094721982965,-0.2400000000000002,-1.5645371577574951,2.8683181225554075
2026-06-12,15.26,15.49,14.98,15.29,4040500.0,61810684.0,133747200.0,0.030209978227581587,0.1899999999999995,1.2582781456953684,3.377483443708608
2026-06-15,15.4,15.73,15.34,15.59,3750700.0,58317333.0,133747200.0,0.02804320389510958,0.3000000000000007,1.962066710268151,2.5506867233485977
2026-06-16,15.51,15.86,15.23,15.68,4100300.0,63649157.0,133747200.0,0.030657090391425015,0.08999999999999986,0.5772931366260448,4.041051956382289
2026-06-17,15.68,15.94,15.43,15.53,3966000.0,61852671.0,133747200.0,0.029652957220786678,-0.15000000000000036,-0.956632653061229,3.252551020408162
2026-06-18,15.41,15.77,15.21,15.42,3508300.0,54231095.0,133747200.0,0.02623082950521581,-0.10999999999999943,-0.7083065035415337,3.605924018029612
