date      , code  , name    , close  , score, status      , risk_tags                               , ret10_fmt, ret20_fmt, ret60_fmt, ret20_rank_pct_fmt, ret60_rank_pct_fmt, ma20                 , ma60, ma120, ma20_slope_5_fmt, ma60_slope_10_fmt, amount_ma20   , amount_ratio_5_20  , up_down_amount_ratio20, dist_to_60d_high_fmt, is_20d_high, is_60d_high, max_dd20_fmt, turnover_ma5         , limit_up_count_5, basic_liquid, trend_basic, relative_strength, volume_ok, near_breakout, risk_ok, candidate
2026-06-18, 600259, 中稀有色,  116.28,    52, 剔除        , 无明显技术风险                          , 23.99%   , 33.89%   ,          , 96.65%            ,                   ,   91.985             ,     ,      ,                 ,                  ,  1638025967.35, 1.7981387861421194 ,    2.1870208028780675 ,                     , True       , False      , -9.01%      , 0.08373642278554629  ,              1.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 002674, 兴业科技,   17.9 ,    52, 剔除        , 无明显技术风险                          , 21.69%   , 22.02%   ,          , 94.23%            ,                   ,   15.553             ,     ,      ,                 ,                  ,   187594645.05, 1.4575143065897445 ,    1.5017793453327901 ,                     , True       , False      , -9.39%      , 0.05656657854407696  ,              1.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 002167, 东方锆业,   16.13,    50, 剔除        , 无明显技术风险                          , 14.89%   , 34.87%   ,          , 96.82%            ,                   ,   13.849             ,     ,      ,                 ,                  ,   968545545.4 , 1.2998452710657629 ,    1.7503390180188358 ,                     , True       , False      , -13.44%     , 0.11274071878484564  ,              1.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 603261, 立航科技,   44.77,    50, 流动性不足  , 无明显技术风险                          , 33.64%   , 24.15%   ,          , 94.73%            ,                   ,   35.7265            ,     ,      ,                 ,                  ,    30183757.75, 2.2320422048841815 ,    2.6029628794321655 ,                     , True       , False      , -11.62%     , 0.021825187018203802 ,              2.0, False       , False      , False            , True     , True         , True   , False
2026-06-18, 603211, 晋拓股份,   36.44,    50, 剔除        , 无明显技术风险                          , 32.03%   , 23.36%   ,          , 94.50%            ,                   ,   29.627999999999997 ,     ,      ,                 ,                  ,   300825554.2 , 1.3026663942899837 ,    1.5589599312408031 ,                     , True       , False      , -14.54%     , 0.045347318695549796 ,              1.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 603991, 领先股份,  129.69,    50, 剔除        , 无明显技术风险                          , 17.42%   , 11.06%   ,          , 90.26%            ,                   ,  112.80699999999999  ,     ,      ,                 ,                  ,   394145401.35, 1.540528487508129  ,    1.531006535342857  ,                     , True       , False      , -13.90%     , 0.06725028690548834  ,              1.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 002907, 华森制药,   13.3 ,    50, 流动性不足  , 无明显技术风险                          , 10.74%   , 6.31%    ,          , 87.34%            ,                   ,   12.218             ,     ,      ,                 ,                  ,    36047854.55, 1.9609315806008214 ,    1.2481075929656646 ,                     , True       , False      , -7.00%      , 0.016964363554903612 ,              1.0, False       , False      , False            , True     , True         , True   , False
2026-06-18, 002971, 和远气体,   67.38,    48, 短期过热    , 10日涨幅过热、20日涨幅过热              , 80.21%   , 94.18%   ,          , 99.54%            ,                   ,   43.403000000000006 ,     ,      ,                 ,                  ,  1117925360.3 , 2.2543121899692    ,    3.21257975764076   ,                     , True       , False      , -6.01%      , 0.2749300296960352   ,              2.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 000608, 阳光股份,    7.59,    48, 短期过热    , 10日涨幅过热、20日涨幅过热              , 51.20%   , 91.67%   ,          , 99.50%            ,                   ,    5.4645            ,     ,      ,                 ,                  ,   345976039.65, 1.2347607083778585 ,    2.905283091557266  ,                     , True       , False      , -9.94%      , 0.08459355042439477  ,              2.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 000657, 中钨高新,   98.48,    48, 短期过热    , 20日涨幅过热                            , 32.49%   , 73.66%   ,          , 99.14%            ,                   ,   73.89450000000001  ,     ,      ,                 ,                  ,  7921151656.1 , 1.3255864631645984 ,    2.794157869095083  ,                     , True       , False      , -8.62%      , 0.08335291766147748  ,              2.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 600667, 太极实业,   20.92,    48, 短期过热    , 20日涨幅过热                            , 27.87%   , 68.44%   ,          , 99.07%            ,                   ,   15.5595            ,     ,      ,                 ,                  ,  5103633322.2 , 1.2684633367448468 ,    1.8524692908337081 ,                     , True       , False      , -8.68%      , 0.17035827063297213  ,              1.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 600226, 亨通股份,    9.76,    48, 短期过热    , 10日涨幅过热、20日涨幅过热              , 45.45%   , 66.84%   ,          , 99.04%            ,                   ,    7.173             ,     ,      ,                 ,                  ,  1585044531.75, 1.4705763186517489 ,    3.189092154280765  ,                     , True       , False      , -9.66%      , 0.09201390944498512  ,              2.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 600397, 江钨装备,   20.2 ,    48, 短期过热    , 10日涨幅过热、连续涨停风险              , 45.11%   , 58.18%   ,          , 98.77%            ,                   ,   14.559999999999999 ,     ,      ,                 ,                  ,   922774642.05, 1.9976814784428332 ,    3.610503537292828  ,                     , True       , False      , -4.09%      , 0.10920533424201931  ,              3.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 002842, 翔鹭钨业,   47.72,    48, 短期过热    , 10日涨幅过热                            , 38.56%   , 49.59%   ,          , 98.34%            ,                   ,   36.219500000000004 ,     ,      ,                 ,                  ,  1959940120.4 , 2.0207095662655834 ,    3.5241639760827126 ,                     , True       , False      , -6.41%      , 0.3447706723012145   ,              1.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 600392, 盛和资源,   31.66,    48, 短期过热    , 10日涨幅过热                            , 36.64%   , 37.23%   ,          , 97.25%            ,                   ,   24.4485            ,     ,      ,                 ,                  ,  2656592279.8 , 2.272982865046418  ,    2.99722007717567   ,                     , True       , False      , -8.87%      , 0.12078707992200277  ,              2.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 600362, 江西铜业,   53.31,    48, 剔除        , 无明显技术风险                          , 15.77%   , 22.61%   ,          , 94.37%            ,                   ,   44.9275            ,     ,      ,                 ,                  ,  2913110809.55, 1.5016265987066013 ,    1.5874828929414495 ,                     , True       , False      , -16.41%     , 0.04415065528054472  ,              2.0, True        , False      , False            , True     , True         , True   , False
