date      , code  , name    , close , score, status  , risk_tags                               , ret10_fmt, ret20_fmt, ret60_fmt, ret20_rank_pct_fmt, ret60_rank_pct_fmt, ma20                , ma60, ma120, ma20_slope_5_fmt, ma60_slope_10_fmt, amount_ma20   , amount_ratio_5_20 , up_down_amount_ratio20, dist_to_60d_high_fmt, is_20d_high, is_60d_high, max_dd20_fmt, turnover_ma5        , limit_up_count_5, basic_liquid, trend_basic, relative_strength, volume_ok, near_breakout, risk_ok, candidate
2026-06-18, 002971, 和远气体,  67.38,    48, 短期过热, 10日涨幅过热、20日涨幅过热              , 80.21%   , 94.18%   ,          , 99.54%            ,                   ,  43.403000000000006 ,     ,      ,                 ,                  ,  1117925360.3 , 2.2543121899692   ,     3.21257975764076  ,                     , True       , False      , -6.01%      , 0.2749300296960352  ,              2.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 000608, 阳光股份,   7.59,    48, 短期过热, 10日涨幅过热、20日涨幅过热              , 51.20%   , 91.67%   ,          , 99.50%            ,                   ,   5.4645            ,     ,      ,                 ,                  ,   345976039.65, 1.2347607083778585,     2.905283091557266 ,                     , True       , False      , -9.94%      , 0.08459355042439477 ,              2.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 000657, 中钨高新,  98.48,    48, 短期过热, 20日涨幅过热                            , 32.49%   , 73.66%   ,          , 99.14%            ,                   ,  73.89450000000001  ,     ,      ,                 ,                  ,  7921151656.1 , 1.3255864631645984,     2.794157869095083 ,                     , True       , False      , -8.62%      , 0.08335291766147748 ,              2.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 600667, 太极实业,  20.92,    48, 短期过热, 20日涨幅过热                            , 27.87%   , 68.44%   ,          , 99.07%            ,                   ,  15.5595            ,     ,      ,                 ,                  ,  5103633322.2 , 1.2684633367448468,     1.8524692908337081,                     , True       , False      , -8.68%      , 0.17035827063297213 ,              1.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 600226, 亨通股份,   9.76,    48, 短期过热, 10日涨幅过热、20日涨幅过热              , 45.45%   , 66.84%   ,          , 99.04%            ,                   ,   7.173             ,     ,      ,                 ,                  ,  1585044531.75, 1.4705763186517489,     3.189092154280765 ,                     , True       , False      , -9.66%      , 0.09201390944498512 ,              2.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 600397, 江钨装备,  20.2 ,    48, 短期过热, 10日涨幅过热、连续涨停风险              , 45.11%   , 58.18%   ,          , 98.77%            ,                   ,  14.559999999999999 ,     ,      ,                 ,                  ,   922774642.05, 1.9976814784428332,     3.610503537292828 ,                     , True       , False      , -4.09%      , 0.10920533424201931 ,              3.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 002842, 翔鹭钨业,  47.72,    48, 短期过热, 10日涨幅过热                            , 38.56%   , 49.59%   ,          , 98.34%            ,                   ,  36.219500000000004 ,     ,      ,                 ,                  ,  1959940120.4 , 2.0207095662655834,     3.5241639760827126,                     , True       , False      , -6.41%      , 0.3447706723012145  ,              1.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 600392, 盛和资源,  31.66,    48, 短期过热, 10日涨幅过热                            , 36.64%   , 37.23%   ,          , 97.25%            ,                   ,  24.4485            ,     ,      ,                 ,                  ,  2656592279.8 , 2.272982865046418 ,     2.99722007717567  ,                     , True       , False      , -8.87%      , 0.12078707992200277 ,              2.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 603124, 江南新材, 211.31,    46, 短期过热, 10日涨幅过热、20日涨幅过热              , 38.36%   , 79.88%   ,          , 99.27%            ,                   , 159.791             ,     ,      ,                 ,                  ,   743698352.95, 1.4685362269094964,     2.8139654390943325,                     , True       , False      , -10.00%     , 0.07297348587099842 ,              2.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 002141, 贤丰控股,   4.71,    44, 短期过热, 10日涨幅过热、连续涨停风险              , 47.65%   , 34.19%   ,          , 96.75%            ,                   ,   3.5144999999999995,     ,      ,                 ,                  ,   163125611.2 , 2.1560750234908546,     2.685144302921653 ,                     , True       , False      , -15.60%     , 0.08661080947453037 ,              3.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 002989, 中天精装,  37.37,    44, 短期过热, 连续涨停风险                            , 24.98%   , 20.90%   ,          , 93.87%            ,                   ,  29.779499999999995 ,     ,      ,                 ,                  ,   262092740.6 , 1.5718357366819797,     1.5360892113489468,                     , True       , False      , -17.66%     , 0.06847309519929486 ,              3.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 603324, 盛剑科技,  43.1 ,    42, 短期过热, 10日涨幅过热                            , 37.30%   , 31.00%   ,          , 96.06%            ,                   ,  32.734500000000004 ,     ,      ,                 ,                  ,   416320114.3 , 1.361594083805237 ,     1.037964341859996 ,                     , True       , False      , -15.84%     , 0.10416402592694265 ,              2.0, True        , False      , False            , True     , True         , True   , False
2026-06-18, 002636, 金安国纪, 104.41,    41, 短期过热, 10日涨幅过热、20日涨幅过热              , 93.35%   , 145.27%  ,          , 100.00%           ,                   ,  67.2255            ,     ,      ,                 ,                  ,  3783479347.5 , 1.5088216764212166,     6.628534859060328 ,                     , False      , False      , -6.80%      , 0.08247023409692245 ,              0.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 600367, 红星发展,  56.56,    41, 短期过热, 20日涨幅过热                            , 20.39%   , 127.97%  ,          , 99.97%            ,                   ,  44.518             ,     ,      ,                 ,                  ,  2421152468.15, 1.3218450046830026,     2.865071463128572 ,                     , False      , False      , -9.94%      , 0.17744292318109894 ,              0.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 603823, 百合花  ,  46.71,    41, 短期过热, 10日涨幅过热、20日涨幅过热              , 73.45%   , 107.51%  ,          , 99.83%            ,                   ,  33.558             ,     ,      ,                 ,                  ,   815609353.65, 1.4551914635217842,     4.860326929418841 ,                     , False      , False      , -9.19%      , 0.06408220364757204 ,              0.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 603065, 宿迁联盛,  15.62,    41, 短期过热, 10日涨幅过热、20日涨幅过热              , 83.12%   , 100.77%  ,          , 99.70%            ,                   ,  10.1325            ,     ,      ,                 ,                  ,   297927328.05, 2.930611092693952 ,     2.884729707003575 ,                     , False      , False      , -7.75%      , 0.14509344460673437 ,              1.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 600549, 厦门钨业,  85.91,    41, 短期过热, 10日涨幅过热、20日涨幅过热              , 35.65%   , 72.34%   ,          , 99.11%            ,                   ,  62.0535            ,     ,      ,                 ,                  ,  6165480816.75, 1.616284363050362 ,     2.2756214299741075,                     , False      , False      , -6.84%      , 0.08552679982813663 ,              2.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 605589, 圣泉集团,  69.82,    41, 短期过热, 20日涨幅过热                            , 29.73%   , 60.54%   ,          , 98.87%            ,                   ,  54.2375            ,     ,      ,                 ,                  ,  3693863899.35, 1.5218302636946612,     1.8512098052218855,                     , False      , False      , -9.12%      , 0.1028516094397965  ,              1.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 605198, 安德利  ,  81.7 ,    41, 短期过热, 10日涨幅过热、连续涨停风险              , 49.77%   , 55.98%   ,          , 98.61%            ,                   ,  61.3205            ,     ,      ,                 ,                  ,   424133622.4 , 2.2486114790978666,     2.036831332136598 ,                     , False      , False      , -6.50%      , 0.04470408818050093 ,              4.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 002824, 和胜股份,  37.92,    41, 短期过热, 10日涨幅过热                            , 38.14%   , 55.79%   ,          , 98.58%            ,                   ,  27.659             ,     ,      ,                 ,                  ,   687027388.7 , 1.5448872287440438,     2.2870684927351825,                     , False      , False      , -10.00%     , 0.13950877574923579 ,              2.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 000691, 亚太实业,  12.23,    41, 短期过热, 10日涨幅过热                            , 40.25%   , 47.00%   ,          , 98.21%            ,                   ,   9.3995            ,     ,      ,                 ,                  ,   158061785.95, 1.8005312485209208,     5.385883830216556 ,                     , False      , False      , -6.65%      , 0.07967253193924584 ,              0.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 002955, 鸿合科技,  34.77,    41, 短期过热, 10日涨幅过热                            , 37.21%   , 41.69%   ,          , 97.88%            ,                   ,  27.792             ,     ,      ,                 ,                  ,   228498230.9 , 1.693683204791937 ,     8.111543298017137 ,                     , False      , False      , -6.38%      , 0.060280878937934566,              0.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 603020, 爱普股份,  13.96,    41, 短期过热, 10日涨幅过热                            , 43.92%   , 37.94%   ,          , 97.32%            ,                   ,  11.1225            ,     ,      ,                 ,                  ,   164718411.4 , 2.257718460487775 ,     2.2757822163035804,                     , False      , False      , -9.97%      , 0.075897024136875   ,              2.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 605318, 法狮龙  , 132.09,    41, 短期过热, 10日涨幅过热                            , 44.39%   , 33.90%   ,          , 96.69%            ,                   , 107.42750000000001  ,     ,      ,                 ,                  ,   442949375.2 , 1.76460453804022  ,     2.076881724548995 ,                     , False      , False      , -7.60%      , 0.0471508822926715  ,              0.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 603011, 合锻智能,  39.55,    40, 短期过热, 20日涨幅过热                            , 22.60%   , 104.92%  ,          , 99.77%            ,                   ,  28.9195            ,     ,      ,                 ,                  ,  1966945608.95, 1.1442225156400911,     3.9758247289950552,                     , True       , False      , -11.31%     , 0.13193931470896753 ,              2.0, True        , False      , False            , False    , True         , True   , False
2026-06-18, 603663, 三祥新材,  87.49,    40, 短期过热, 20日涨幅过热                            , 30.78%   , 90.61%   ,          , 99.47%            ,                   ,  67.6485            ,     ,      ,                 ,                  ,  1764450053.5 , 1.0431197440523075,     1.196732504289711 ,                     , True       , False      , -8.20%      , 0.05533822973031518 ,              2.0, True        , False      , False            , False    , True         , True   , False
2026-06-18, 600378, 昊华科技,  65.16,    39, 短期过热, 10日涨幅过热、20日涨幅过热              , 50.52%   , 87.03%   ,          , 99.37%            ,                   ,  48.390499999999996 ,     ,      ,                 ,                  ,  3741499366.75, 1.75295044705489  ,     3.1421681897385976,                     , False      , False      , -11.39%     , 0.10208257862602635 ,              1.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 001696, 宗申动力,  24.31,    39, 短期过热, 10日涨幅过热                            , 72.17%   , 53.09%   ,          , 98.48%            ,                   ,  17.725             ,     ,      ,                 ,                  ,  1411228340.25, 2.379402507609186 ,    11.74419841801593  ,                     , False      , False      , -10.06%     , 0.16290986735138382 ,              1.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 600500, 中化国际,   8.83,    39, 短期过热, 10日涨幅过热                            , 54.91%   , 48.90%   ,          , 98.31%            ,                   ,   6.589             ,     ,      ,                 ,                  ,  1376004456.7 , 2.7456603761739835,     2.6707491523875535,                     , False      , False      , -14.74%     , 0.12357997527392243 ,              2.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 600206, 有研新材,  42.51,    39, 短期过热, 10日涨幅过热                            , 44.84%   , 47.50%   ,          , 98.24%            ,                   ,  31.602999999999998 ,     ,      ,                 ,                  ,  3070485719.85, 1.7048676844052315,     2.5475622310169093,                     , False      , False      , -11.84%     , 0.16595792644048094 ,              1.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 002515, 金字火腿,   9.63,    39, 短期过热, 10日涨幅过热                            , 39.16%   , 40.79%   ,          , 97.68%            ,                   ,   7.3125            ,     ,      ,                 ,                  ,   677108971.1 , 1.672583363000136 ,     4.355330498392461 ,                     , False      , False      , -12.02%     , 0.11521522564013502 ,              2.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 600498, 烽火通信,  75.31,    39, 短期过热, 10日涨幅过热                            , 42.77%   , 39.36%   ,          , 97.42%            ,                   ,  58.01250000000001  ,     ,      ,                 ,                  ,  7503836299.4 , 1.5193162795291244,     2.8170458623370527,                     , False      , False      , -13.78%     , 0.12826266592972618 ,              0.0, True        , False      , False            , True     , False        , True   , False
2026-06-18, 003036, 泰坦股份,  98.8 ,    38, 短期过热, 20日涨幅过热                            , 31.98%   , 108.57%  ,          , 99.87%            ,                   ,  76.5915            ,     ,      ,                 ,                  ,  1054080923.15, 1.0949679923538043,     1.8988162336572763,                     , False      , False      , -9.53%      , 0.05729313846548253 ,              1.0, True        , False      , False            , False    , False        , True   , False
2026-06-18, 600183, 生益科技, 183.87,    38, 短期过热, 20日涨幅过热                            , 28.44%   , 88.31%   ,          , 99.40%            ,                   , 144.5885            ,     ,      ,                 ,                  , 12983230694.75, 1.1729143850272798,     4.134769822591532 ,                     , False      , False      , -6.36%      , 0.03656220586675888 ,              1.0, True        , False      , False            , False    , False        , True   , False
2026-06-18, 002138, 顺络电子,  71.16,    38, 短期过热, 10日涨幅过热、20日涨幅过热              , 40.77%   , 78.35%   ,          , 99.20%            ,                   ,  53.954499999999996 ,     ,      ,                 ,                  ,  3615805651.15, 1.0742535707262386,     2.7104557260029463,                     , False      , False      , -9.15%      , 0.08279776992443592 ,              0.0, True        , False      , False            , False    , False        , True   , False
2026-06-18, 600353, 旭光电子,  42.01,    37, 短期过热, 10日涨幅过热、20日涨幅过热、连续涨停风险, 58.89%   , 94.22%   ,          , 99.57%            ,                   ,  27.28              ,     ,      ,                 ,                  ,  1671752064.05, 0.8152236588829711,     1.645308592066499 ,                     , True       , False      , -10.00%     , 0.04927634546966808 ,              4.0, True        , False      , False            , False    , True         , True   , False
2026-06-18, 002859, 洁美科技,  99.73,    37, 短期过热, 20日涨幅过热、20日回撤过大              , 5.66%    , 83.02%   ,          , 99.34%            ,                   ,  78.9735            ,     ,      ,                 ,                  ,  2322050711.0 , 1.0722147326953877,     1.7510459077810485,                     , True       , False      , -20.25%     , 0.07054899378332423 ,              2.0, True        , False      , False            , False    , True         , False  , False
2026-06-18, 605376, 博迁新材, 231.31,    37, 短期过热, 20日涨幅过热                            , 23.04%   , 65.98%   ,          , 99.01%            ,                   , 184.84              ,     ,      ,                 ,                  ,  3135336682.15, 0.913107247237263 ,     1.1943242544782524,                     , True       , False      , -9.25%      , 0.054083822629969414,              2.0, True        , False      , False            , False    , True         , True   , False
