date,code,name,close,score,status,risk_tags,ret3_fmt,ret5_fmt,ret10_fmt,ret5_rank_pct_fmt,ret10_rank_pct_fmt,ma5,ma10,ma20,ma5_slope_2_fmt,ma10_slope_3_fmt,amount_ma20,amount_ratio_5_20,up_down_amount_ratio10,dist_to_10d_high_fmt,is_5d_high,is_10d_high,max_dd10_fmt,turnover_ma5,limit_up_count_3,basic_liquid,trend_basic,relative_strength,volume_ok,near_breakout,risk_ok,candidate
2026-06-18,002674,兴业科技,17.9,100,强趋势池,无明显技术风险,7.51%,13.22%,21.69%,91.54%,96.30%,16.566,16.044999999999998,15.553,3.78%,4.20%,187594645.05,1.4575143065897445,4.814890291674867,0.00%,True,True,-3.84%,0.05656657854407691,1.0,True,True,True,True,True,True,True
2026-06-18,002842,翔鹭钨业,47.72,98,强趋势池,无明显技术风险,10.26%,21.70%,38.56%,96.93%,99.04%,44.058,39.511,36.219500000000004,7.96%,10.28%,1959940120.4,2.0207095662655834,5.150786200761875,0.00%,True,True,-6.41%,0.3447706723012145,1.0,True,True,True,True,True,True,True
2026-06-18,002203,海亮股份,25.52,98,强趋势池,无明显技术风险,2.94%,19.76%,30.94%,96.30%,98.31%,24.29,21.793,21.0085,7.09%,6.72%,1363344185.45,2.02164660209429,1.6912787475263298,0.00%,True,True,-6.41%,0.05159136552413366,1.0,True,True,True,True,True,True,True
2026-06-18,002167,东方锆业,16.13,98,强趋势池,无明显技术风险,9.36%,16.46%,14.89%,94.32%,93.59%,15.006,14.299000000000001,13.849,4.35%,2.82%,968545545.4,1.2998452710657629,1.9182724679606253,0.00%,True,True,-6.59%,0.1127407187848456,1.0,True,True,True,True,True,True,True
2026-06-18,603991,领先股份,129.69,98,强趋势池,无明显技术风险,9.63%,7.89%,17.42%,83.58%,94.51%,120.604,114.559,112.80699999999999,3.09%,2.88%,394145401.35,1.540528487508129,2.4073796533568665,0.00%,True,True,-6.50%,0.06725028690548829,1.0,True,True,True,True,True,True,True
2026-06-18,600397,江钨装备,20.2,96,短期过热,3日涨幅过热、5日涨幅过热、连续涨停风险,33.16%,41.65%,45.11%,99.87%,99.44%,17.028,15.440999999999999,14.559999999999999,14.04%,9.64%,922774642.05,1.9976814784428332,6.743579985304648,0.00%,True,True,-1.78%,0.10920533424201925,3.0,True,True,True,True,True,True,True
2026-06-18,600226,亨通股份,9.76,96,短期过热,3日涨幅过热、5日涨幅过热,18.30%,30.13%,45.45%,99.07%,99.50%,8.626,7.953999999999999,7.173,8.39%,11.95%,1585044531.75,1.4705763186517489,4.190071276442439,0.00%,True,True,-3.72%,0.09201390944498508,1.0,True,True,True,True,True,True,True
2026-06-18,002971,和远气体,67.38,96,短期过热,3日涨幅过热、5日涨幅过热,18.67%,27.73%,80.21%,98.58%,99.90%,60.536,52.589999999999996,43.403000000000006,10.17%,18.56%,1117925360.3,2.2543121899692,6.375499774050725,0.00%,True,True,-2.15%,0.27493002969603525,1.0,True,True,True,True,True,True,True
2026-06-18,603324,盛剑科技,43.1,96,短期过热,3日涨幅过热、5日涨幅过热、连续涨停风险,25.80%,27.40%,37.30%,98.51%,98.91%,37.184000000000005,33.946,32.734500000000004,10.52%,6.29%,416320114.3,1.361594083805237,2.506832151081163,0.00%,True,True,-4.37%,0.1041640259269426,2.0,True,True,True,True,True,True,True
2026-06-18,000657,中钨高新,98.48,96,短期过热,5日涨幅过热,13.33%,26.34%,32.49%,98.22%,98.58%,89.282,80.608,73.89450000000001,9.08%,9.21%,7921151656.1,1.3255864631645984,3.0095432829341786,0.00%,True,True,-3.21%,0.08335291766147747,1.0,True,True,True,True,True,True,True
2026-06-18,603124,江南新材,211.31,96,强趋势池,无明显技术风险,7.81%,18.18%,38.36%,95.47%,99.01%,196.112,181.276,159.791,6.14%,9.83%,743698352.95,1.4685362269094964,2.244312620312431,0.00%,True,True,-10.00%,0.07297348587099836,1.0,True,True,True,True,True,True,True
