date,open,high,low,close,volume,amount,outstanding_share,turnover,change,pct_chg,amplitude
2023-03-06,11.76,11.76,11.54,11.63,3245551.0,38822468.0,330201564.0,0.009828999477422221,,,
2023-03-07,11.61,11.74,11.45,11.45,4360686.0,52050395.0,330201564.0,0.013206133693539986,-0.1800000000000015,-1.5477214101461856,2.4935511607910654
2023-03-08,11.45,11.54,11.32,11.43,3127800.0,36757551.0,330201564.0,0.009472396078656974,-0.019999999999999574,-0.17467248908296096,1.9213973799126538
2023-03-09,11.49,11.49,11.33,11.33,2324500.0,27247704.0,330201564.0,0.0070396395820826576,-0.09999999999999964,-0.8748906386701671,1.3998250218722672
2023-03-10,11.27,11.31,11.0,11.04,3681878.0,42100505.0,330201564.0,0.011150395399096293,-0.2900000000000009,-2.559576345984116,2.7360988526037113
2023-03-13,11.09,11.17,10.98,11.06,1833320.0,20868294.0,330201564.0,0.0055521239142283406,0.02000000000000135,0.18115942028986698,1.7210144927536186
2023-03-14,11.12,11.12,10.64,10.83,3563028.0,39682969.0,330201564.0,0.010790463730208134,-0.23000000000000043,-2.0795660036166397,4.339963833634707
2023-03-15,10.91,11.21,10.91,11.11,2862625.0,32633478.0,330201564.0,0.008669325987807858,0.27999999999999936,2.5854108956602007,2.770083102493081
2023-03-16,11.0,11.09,10.76,10.8,2425492.0,27248338.0,330201564.0,0.007345489132813435,-0.3099999999999987,-2.7902790279027756,2.970297029702971
2023-03-17,10.84,11.02,10.82,10.88,2293214.0,25749953.0,330201564.0,0.00694489139367008,0.08000000000000007,0.7407407407407307,1.8518518518518452
2023-03-20,10.93,11.01,10.68,10.89,2768755.0,30922445.0,330201564.0,0.008385045081131111,0.009999999999999787,0.09191176470588758,3.0330882352941178
2023-03-21,10.85,11.0,10.81,10.99,2453100.0,27555863.0,330201564.0,0.007429098670168625,0.09999999999999964,0.9182736455463747,1.7447199265381037
2023-03-22,10.99,11.11,10.86,10.95,2466050.0,27894597.0,330201564.0,0.007468317139769817,-0.040000000000000924,-0.36396724294813776,2.2747952684258417
2023-03-23,10.89,10.97,10.79,10.88,2438420.0,27281370.0,330201564.0,0.007384640976443104,-0.06999999999999851,-0.639269406392684,1.6438356164383698
2023-03-24,10.93,11.02,10.8,11.0,2579641.0,29046578.0,330201564.0,0.007812322173010665,0.11999999999999922,1.1029411764705843,2.022058823529401
2023-03-27,10.99,11.06,10.88,10.97,2239392.0,25219173.0,330201564.0,0.006781893982791674,-0.02999999999999936,-0.27272727272726893,1.6363636363636338
2023-03-28,10.97,11.01,10.77,10.79,3533054.0,39431943.0,330201564.0,0.010699688872460943,-0.1800000000000015,-1.6408386508660167,2.1877848678213327
2023-03-29,10.76,10.88,10.6,10.62,3050869.0,33644501.0,330201564.0,0.009239414141599886,-0.16999999999999993,-1.575532900834109,2.594995366079714
2023-03-30,10.61,10.78,10.55,10.67,1979580.0,21704159.0,330201564.0,0.005995065486727979,0.05000000000000071,0.47080979284370716,2.165725047080967
2023-03-31,10.77,10.94,10.69,10.89,3028666.0,33832385.0,330201564.0,0.009172173394066662,0.22000000000000064,2.0618556701031077,2.343017806935333
2023-04-03,10.89,11.28,10.86,11.14,5679052.0,64945309.0,330201564.0,0.017198743492323372,0.25,2.2956841138659367,3.8567493112947653
2023-04-04,11.09,11.14,10.87,10.93,3908431.0,44080819.0,330201564.0,0.011836500568483073,-0.21000000000000085,-1.8850987432675104,2.423698384201089
2023-04-06,10.94,11.13,10.79,11.07,2972811.0,33690448.0,330201564.0,0.009003019137728857,0.14000000000000057,1.2808783165599413,3.110704483074123
2023-04-07,11.25,11.46,11.12,11.14,5356200.0,62235471.0,330201564.0,0.016221001303313026,0.07000000000000028,0.6323396567299078,3.0713640469738177
